zipcode,avg(Response Time),stddev_samp(Response Time),avg(Handling Time),stddev_samp(Handling Time),Incident Count,avg(longitude),avg(latitude),Number of Stations
94102,251.8140625939812,97.23898907537563,531.8350742827355,494.1123622945699,49877,-122.4171814378668,37.78114360923263,1
94103,267.1731158526654,97.4755716216461,558.8669520906532,508.8411738175327,42977,-122.40508008594881,37.77536011427839,2
94104,251.08108698024665,97.9699682857825,515.7304376295973,511.67771588736076,9163,-122.4036422490506,37.79129711364516,
94105,262.5253366888859,102.70118558814688,523.2541831043395,528.4181863735892,29404,-122.40147372452766,37.7848834439458,1
94107,271.90276518585677,99.69668474590944,639.3270247809006,548.3026142454798,26472,-122.39661960334617,37.77061302024099,2
94108,256.21252838758517,95.92601910538356,580.6421271763816,507.8219866325285,10568,-122.40780976578935,37.79271319674052,
94109,243.41098474442796,97.11763348126614,546.5274252330458,503.3122897468655,54603,-122.41322412266845,37.78830473280425,2
94110,255.14588531758776,101.27078601789286,563.5931763717667,551.959901062164,40477,-122.41720499633978,37.75352869587061,2
94111,249.08356940509915,96.48126797229816,542.0675460339943,520.6200018420827,11296,-122.37931439492004,37.79484341225398,1
94112,279.95516741790084,106.33079828007008,600.4766178364456,562.4331930532592,24848,-122.44454890563381,37.72135858969238,3
94114,258.6201259043503,99.93946073020201,558.5411068307808,526.2361366190519,21286,-122.43158142838658,37.7612764331341,2
94115,243.83377647382414,96.53912658505043,640.6824669172703,516.1427544740561,32721,-122.43511378362057,37.784842201123006,2
94116,307.9899293115135,105.58935572619842,694.3120945095382,542.6857232509034,10327,-122.48364727248476,37.74531154338456,2
94117,253.02336037079954,97.61618056923844,622.7691772885283,542.4484433027288,21575,-122.44291122430496,37.771048795168745,2
94118,276.064713148504,97.61139316842946,700.303321438375,532.4358186575964,14572,-122.4604489514354,37.7820764951408,2
94121,279.4126860764034,105.17920917448163,706.1790518323668,549.7366298827377,16727,-122.48826487500075,37.77865924241949,2
94122,285.32500628298567,105.64624798329253,651.3106810756472,559.6672473004186,19895,-122.4828375230334,37.75826153160007,2
94123,275.16144874155924,100.03261405352788,638.4888888888889,530.6505998190084,16290,-122.43515965571564,37.79940799573535,1
94124,288.75918628864326,107.1123098797118,622.0464840621496,572.618591927777,31215,-122.39318278603977,37.73480606186496,4
94127,309.49897330595485,101.75826407902115,693.7327173169062,541.877416744246,5844,-122.45837348719856,37.73708052023723,1
94128,279.1021560574949,122.05316540826483,825.2760095824777,560.2078016868168,5844,-122.38418457396018,37.61777723071619,
94129,314.9529233105543,112.4964786763591,823.9024297646165,558.3906436102061,2634,-122.46121406279491,37.79970953385533,1
94130,301.73177966101696,112.11433109637477,676.6351694915254,608.1739849457445,2360,-122.38590884045574,37.80655690976368,1
94131,297.56398459233895,108.59897327795785,700.9124759255296,546.4904074907756,9346,-122.4381080517008,37.74539566544993,3
94132,309.66856953751966,104.35656865419686,758.5675519152809,521.2988260516693,12087,-122.47730769074097,37.722083932370246,1
94133,250.46306733906852,98.39339946691159,591.4145654108573,523.6785180366899,20226,-122.411427388388,37.80092133846246,2
94134,294.63874393481643,110.57971398244514,595.2668680765357,560.4060909120518,10923,-122.38687914985005,37.72097575661562,2
94158,,,,,,,,1
