Boro,Yr,traffic_volume_counts
Bronx,2020,307169
Bronx,2016,1314097
Bronx,2018,1844889
Brooklyn,2018,1110079
Staten Island,2023,209172
Bronx,2019,658972
Staten Island,2022,442788
Brooklyn,2020,702575
Brooklyn,2014,1670545
Queens,2015,6092528
Staten Island,2017,740354
Bronx,2015,3577547
Staten Island,2020,716890
Queens,2019,5232493
Bronx,2013,3381155
Manhattan,2022,2570269
Staten Island,2013,325632
Bronx,2022,1141945
Bronx,2023,1166518
Bronx,2021,622742
Queens,2013,3162775
Queens,2023,3089869
Bronx,2017,4483660
Queens,2016,5153206
Manhattan,2021,1690345
Queens,2018,2626020
Queens,2014,4347958
Brooklyn,2016,4086302
Brooklyn,2021,3325201
Queens,2017,2582471
Staten Island,2016,1119809
Staten Island,2021,351776
Bronx,2014,5129206
Manhattan,2020,1359276
Brooklyn,2013,2055208
Manhattan,2014,3711599
Queens,2022,2464701
Brooklyn,2019,5989255
Manhattan,2013,6720420
Staten Island,2019,938525
Manhattan,2017,4007575
Staten Island,2015,894942
Manhattan,2023,1315123
Queens,2021,3876784
Brooklyn,2023,4805850
Manhattan,2019,1529198
Brooklyn,2017,2020412
Manhattan,2015,1436996
Brooklyn,2022,2292244
Manhattan,2018,5263262
Brooklyn,2015,2358225
Manhattan,2016,1563473
Staten Island,2018,597041
Queens,2020,1412036
Staten Island,2014,280651
